zip,year_built,sqft,stories,beds,baths,garage,lastSoldPrice,type_condo,type_coop,type_farm,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhomes
99025.0,1938.0,850.0,2.0,1.0,1.0,0.0,384912.0,False,False,False,False,False,False,False,True,False
98908.0,1993.0,3240.0,2.0,4.0,3.0,3.0,650060.0,False,False,False,False,False,False,False,True,False
99336.0,1951.0,1900.0,1.0,3.0,2.0,1.0,319977.0,False,False,False,False,False,False,False,True,False
99169.0,1940.0,510.0,1.0,1.0,1.0,0.0,158407.0,False,False,False,False,False,False,False,True,False
98136.0,1984.0,990.0,1.0,1.0,1.0,0.0,409937.0,True,False,False,False,False,False,False,False,False
99005.0,1953.0,3980.0,2.0,4.0,4.0,4.0,1289908.0,False,False,False,False,False,False,False,True,False
98122.0,1915.0,4100.0,2.0,5.0,4.0,0.0,2249914.0,False,False,False,False,False,False,False,True,False
98146.0,1980.0,1100.0,2.0,2.0,2.0,0.0,304929.0,True,False,False,False,False,False,False,False,False
98178.0,2024.0,3240.0,3.0,4.0,4.0,0.0,999995.0,False,False,False,False,False,False,False,True,False
98951.0,2026.0,1490.0,1.0,3.0,2.0,0.0,390099.0,False,False,False,False,False,False,False,True,False
98660.0,2005.0,1710.0,2.0,3.0,2.0,2.0,480062.0,False,False,False,False,False,False,False,True,False
98118.0,2025.0,1750.0,2.0,4.0,4.0,0.0,874901.0,False,False,False,False,False,False,False,True,False
99208.0,1961.0,3940.0,1.0,5.0,3.0,2.0,560050.0,False,False,False,False,False,False,False,True,False
98685.0,2012.0,1850.0,1.0,3.0,2.0,2.0,599944.0,False,False,False,False,False,False,False,True,False
98584.0,1988.0,3200.0,2.0,2.0,2.0,0.0,465052.0,False,False,False,False,False,False,False,True,False
99005.0,1965.0,5260.0,2.0,5.0,5.0,4.0,674932.0,False,False,False,False,False,False,False,True,False
99006.0,2016.0,1800.0,2.0,3.0,3.0,2.0,688097.0,False,False,False,False,False,False,False,True,False
98244.0,2022.0,3150.0,2.0,3.0,3.0,0.0,1006420.0,False,False,False,False,False,False,False,True,False
99203.0,1936.0,2680.0,2.0,4.0,2.0,4.0,557081.0,False,False,False,False,False,False,False,True,False
98109.0,1967.0,900.0,1.0,2.0,1.0,0.0,440054.0,True,False,False,False,False,False,False,False,False
98290.0,1983.0,2570.0,2.0,3.0,3.0,0.0,850076.0,False,False,False,False,False,False,False,True,False
98371.0,2021.0,2130.0,2.0,3.0,3.0,0.0,640069.0,False,False,False,False,False,False,False,True,False
98377.0,1969.0,2200.0,2.0,4.0,3.0,2.0,559926.0,False,False,False,False,False,False,False,True,False
98012.0,2013.0,2130.0,2.0,3.0,3.0,0.0,1089937.0,False,False,False,False,False,False,False,True,False
98665.0,1988.0,2010.0,3.0,4.0,2.0,2.0,519060.0,False,False,False,False,False,False,False,True,False
99350.0,1906.0,2400.0,1.0,4.0,3.0,2.0,549598.0,False,False,False,False,False,False,False,True,False
98629.0,1992.0,2140.0,1.0,3.0,2.0,4.0,858078.0,False,False,False,False,False,False,False,True,False
98288.0,2004.0,1100.0,2.0,2.0,2.0,0.0,663070.0,False,False,False,False,False,False,False,True,False
98374.0,1979.0,1940.0,1.0,4.0,2.0,0.0,579947.0,False,False,False,False,False,False,False,True,False
99163.0,2008.0,4340.0,3.0,5.0,4.0,2.0,623912.0,False,False,False,False,False,False,False,True,False
98837.0,2025.0,1410.0,1.0,3.0,2.0,0.0,345382.0,False,False,False,False,False,False,False,True,False
98031.0,1966.0,2970.0,2.0,5.0,4.0,0.0,699931.0,False,False,False,False,False,False,False,True,False
98042.0,1979.0,1890.0,3.0,3.0,3.0,0.0,640084.0,False,False,False,False,False,False,False,True,False
98038.0,1982.0,1480.0,2.0,2.0,3.0,0.0,484944.0,False,False,False,False,False,False,False,False,True
98070.0,1981.0,2280.0,1.0,2.0,3.0,0.0,629923.0,False,False,False,False,False,False,False,True,False
98102.0,2017.0,2100.0,2.0,2.0,3.0,0.0,2099906.0,False,False,False,False,False,False,False,False,True
98020.0,1992.0,2790.0,2.0,4.0,3.0,0.0,1680073.0,False,False,False,False,False,False,False,True,False
99212.0,1936.0,1580.0,2.0,2.0,1.0,1.0,336950.0,False,False,False,False,False,False,False,True,False
98683.0,2024.0,1390.0,2.0,3.0,2.0,1.0,390819.0,False,False,False,False,False,False,False,False,True
98250.0,2000.0,1540.0,1.0,3.0,2.0,0.0,231188.0,False,False,False,False,True,False,False,False,False
99301.0,2021.0,2480.0,2.0,6.0,4.0,0.0,530075.0,False,False,False,False,False,True,False,False,False
98661.0,2006.0,2850.0,2.0,6.0,6.0,2.0,650068.0,False,False,False,False,False,True,False,False,False
98683.0,1998.0,1980.0,2.0,3.0,2.0,2.0,565056.0,False,False,False,False,False,False,False,True,False
98607.0,2018.0,1590.0,2.0,3.0,2.0,2.0,574915.0,False,False,False,False,False,False,False,True,False
98801.0,1986.0,1570.0,1.0,2.0,2.0,0.0,175059.0,False,False,False,False,True,False,False,False,False
98391.0,1997.0,2340.0,2.0,3.0,3.0,0.0,794933.0,False,False,False,False,False,False,False,True,False
98107.0,2025.0,4150.0,2.0,5.0,6.0,0.0,2798100.0,False,False,False,False,False,False,False,True,False
98012.0,1986.0,2060.0,1.0,3.0,3.0,0.0,1094947.0,False,False,False,False,False,False,False,True,False
98276.0,2013.0,2100.0,1.0,3.0,2.0,0.0,539938.0,False,False,False,False,False,False,False,True,False
98363.0,1918.0,1700.0,2.0,3.0,2.0,0.0,449934.0,False,False,False,False,False,False,False,True,False
98942.0,2002.0,2360.0,1.0,3.0,3.0,3.0,674575.0,False,False,False,False,False,False,False,True,False
99208.0,2011.0,1980.0,1.0,3.0,2.0,3.0,549938.0,False,False,False,False,False,False,False,True,False
98365.0,1982.0,2640.0,1.0,2.0,2.0,0.0,475099.0,False,False,False,False,False,False,False,True,False
98665.0,2004.0,1370.0,2.0,2.0,2.0,1.0,339950.0,False,False,False,False,False,False,False,False,True
98198.0,2008.0,6550.0,2.0,5.0,6.0,0.0,3625098.0,False,False,False,False,False,False,False,True,False
98103.0,1924.0,1570.0,1.0,3.0,3.0,0.0,1239923.0,False,False,False,False,False,False,False,True,False
98057.0,1955.0,2110.0,1.0,4.0,3.0,0.0,820051.0,False,False,False,False,False,False,False,True,False
98116.0,1951.0,1920.0,1.0,4.0,2.0,0.0,1107055.0,False,False,False,False,False,False,False,True,False
98052.0,1976.0,2180.0,3.0,3.0,3.0,0.0,1489945.0,False,False,False,False,False,False,False,True,False
98225.0,2006.0,1020.0,1.0,2.0,2.0,0.0,599936.0,True,False,False,False,False,False,False,False,False
98580.0,2007.0,4780.0,2.0,5.0,5.0,0.0,1540066.0,False,False,False,False,False,False,False,True,False
98387.0,1991.0,3980.0,2.0,3.0,3.0,0.0,798918.0,False,False,False,False,False,False,False,True,False
99338.0,1984.0,2040.0,1.0,3.0,2.0,1.0,140065.0,False,False,False,False,True,False,False,False,False
98178.0,2020.0,1670.0,2.0,3.0,3.0,0.0,630086.0,False,False,False,False,False,False,False,False,True
98199.0,2017.0,990.0,2.0,2.0,2.0,0.0,705064.0,False,False,False,False,False,False,False,False,True
98201.0,2007.0,3170.0,2.0,6.0,4.0,1.0,824937.0,False,False,False,False,False,True,False,False,False
98375.0,1990.0,2360.0,2.0,4.0,4.0,2.0,674936.0,False,False,False,False,False,True,False,False,False
98405.0,1967.0,1660.0,2.0,4.0,2.0,2.0,584934.0,False,False,False,False,False,True,False,False,False
98625.0,2007.0,3410.0,1.0,4.0,3.0,0.0,675092.0,False,False,False,False,False,False,False,True,False
98370.0,1997.0,2360.0,1.0,3.0,3.0,0.0,1105062.0,False,False,False,False,False,False,False,True,False
